avg-diag-dist,nnz,norm1,col-variability,min-nnzeros-per-row,row-variability,kappa, time, solver, class
14,1288,5838171,15.36249,1,14.47991,157.6244,1.38E-05,32168837,1
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,1.84E-05,32168839,-1
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,1.38E-05,32168837,1
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,0.06319,29030070,fair
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,2.69E-05,36564232,fair
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,1.79769313486e+308,81986705,fair
11.73913,1294,6221.941,9.506495,1,10.50067,723.8459,0.060769,37052868,fair
11.73913,1298,218151800,10.33128,1,10.33128,1248.873,1.29E-05,32168837,1
95.17308,1387,7.20904,6,2,6.020028,6.684705,0.0012302,45869639,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,0.001065,32168839,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,1.79769313486e+308,90783920,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,5.91E-05,29030070,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,0.0011022,36564232,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,1.79769313486e+308,81986705,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,0.0011289,19932321,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,0.00019264,36025721,fair
95.17308,1387,7.20904,6,2,6.020028,6.684705,3.12E-05,37052868,1
18.27778,1435,1,0.60206,2,0.60206,5.467936,2.38E-05,32168837,1
0,1473,31.57814,3.573408,1,3.573408,118248.2,1.91E-05,32168837,1
